k01.01,k01.02,k01.03,k01.04,k01.05,k01.06,k02.07,k02.08,k02.09,k03.10,k03.11,k03.12,k03.13,k03.14,k03.15,k03.16,k03.17,k03.18,k03.19,k03.20,k03.21,k03.22,k03.23,k03.24,k05.34,k04.26,k04.27,k04.28,k04.29,k04.30,k04.31,k03.25,k04.32,k04.33,k05.35,k05.36,k05.37,k05.38,k05.39,k05.40,k05.41,k05.42,k05.43,k05.44,k05.45,k05.46,k05.47,k05.48,k06.49,k06.50,k06.51,k07.52,k07.53,k07.54,k07.55,k07.56,k08.57,k08.58,k09.59,k09.60,k09.61,k09.62,k09.63,k09.64,k09.65,k10.66,k10.67,k10.68,k10.69,k10.70,k10.71,k10.72,k10.73,k10.74,k10.75,k10.76,k10.77,k10.78,k11.79,k11.80,k11.81,k11.82,k11.83,k12.84,k12.85,k13.86,k13.87,k13.88,k13.89,k13.90,k13.91,k13.92,k13.93,k14.94,k14.95,k14.96
2021/02/22 13:05:37,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1982,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Mudah,Biaya internet yang mahal,Diskusi dengan rekan sesama tenaga kesehatan,Melaksanakan dan mengawasi kesehatan lingkungan,1-3 jam,Lebih dari 5 jam,Lebih dari 5 jam,Lebih dari 5 jam,3-5 jam,Lebih dari 5 jam,Lebih dari 5 jam,Lebih dari 5 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Rp100.000,00 - Rp300.000,00",Uang mamin (makan minum),"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim,Pihak keluarga kurang respon trhadap penyakit c-19,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,1,Pekerjaan saya bisa membantu masyarakat,WhatsApp,WhatsApp dan tlpon seluler,Form PE kertas,Form Excel,2-3 hari sekali,5,5,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien,"Kurang dari Rp1.000.000,00",Ya,Ihsan solehudin.M .Amk
2021/02/22 13:00:52,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1991,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Internet,Membantu wanita mulai dari kehamilan hingga melahirkan,1-3 jam,1-3 jam,Kurang dari 1 jam,1-3 jam,Kurang dari 1 jam,Lebih dari 5 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya,Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp,WhatsApp,Form PE kertas,Form Excel,Tidak pernah,,,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat,,Tidak,
2021/02/22 13:00:04,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1989,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Internet,Membantu wanita mulai dari kehamilan hingga melahirkan,Kurang dari 1 jam,1-3 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,Lebih dari 5 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya,Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,3,Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp,WhatsApp,Form PE kertas,Form Excel,Tidak pernah,,,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat,,Tidak,
2021/02/22 12:55:15,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1991,Wanita,Diploma/S1,Mengikuti secara penuh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,1-3 jam,Mudah,Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Melaksanakan dan mengawasi kesehatan lingkungan",1-3 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,3-5 jam,Pribadi,Puskesmas,,,,Pribadi,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer),"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik)",3,Kontak erat/kasus konfirmasi berhasil dihubungi,WhatsApp; SMS; Telepon; Kunjungan langsung,WhatsApp; Telepon,Form PE kertas,Form PE kertas,Setiap hari,3,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Santi muliawati hendarto
2021/02/22 12:55:04,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1981,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan,"Membantu anamnesa pasien; Membantu piket di posko P3K; Melaksanakan tindakan keperawatan,penyelidikan epidemiologi ke lapangan",Lebih dari 5 jam,1-3 jam,Lebih dari 5 jam,3-5 jam,3-5 jam,3-5 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp300.001,00 - Rp500.000,00","Makan minum beli sendiri,vitamin tambahan beli sendiri",Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili,Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus konfirmasi menolak untukbdi lakukan penyelidikan kontak erat,Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik); Kekurangan SDM untuk melakukan pelaporan; Sinyal ponsel susah,jadi dalam pengiriman data harus lihat waktu yg bagus sinyalnya",4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp,WhatsApp; Telepon; Kunjungan langsung,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR); Email,Setiap hari,4,4,Transfer knowledge mengenai data kasus kepada kolega non-surveilans dengan mudah; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Rini Rianti
2021/02/22 12:53:18,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1994,Pria,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Sangat mudah (selalu melakukan sendiri dalam melakukan aktivitas online),Jaringam internet kadang tidak bagus,Petunjuk Teknis (Juknis),"Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu)",Lebih dari 5 jam,Lebih dari 5 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Lebih dari 5 jam,Lebih dari 5 jam,Lebih dari 5 jam,,Puskesmas,,,,,Puskesmas,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Alamat kontak erat tidak ditemukan; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim,Pencatatan yang berulang (manual dan komputer),Kekurangan SDM untuk melakukan pelaporan,5,Kontak erat/kasus konfirmasi berhasil sembuh; Mendapat insentif/reward yang sesuai; Pekerjaan saya bisa membantu masyarakat,WhatsApp,WhatsApp,Aplikasi Pelaporan (Pikobar),Aplikasi Pelaporan (Pikobar),Setiap hari,5,5,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memprioritaskan kontak erat yang memiliki resiko tinggi dengan cara yang lebih cepat; Menerima hasil swab secara cepat,"Lebih dari Rp 4.000.000,00",Tidak,
2021/02/22 12:52:01,Kepala Puskesmas,Puskesmas,1966,Pria,Diploma/S1,Tidak mengikuti,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Biaya internet yang mahal; Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/22 12:45:44,Kepala Puskesmas,Puskesmas,1969,Pria,Diploma/S1,Tidak mengikuti,Ya,Membina dan mengarahkan staf,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Netral,Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi; Mengikuti arahan dari otoritas yang lebih tinggi",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Melaksanakan arahan otoritas yang lebih tinggi; Libatkan media2 untuk membantu promosi kesehatan dan berantas hoax,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,3-5 jam,Mudah,Biaya internet yang mahal,Petunjuk Teknis (Juknis); Diklat/seminar/pelatihan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/22 12:44:04,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1981,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Diskusi dengan rekan sesama tenaga kesehatan; Internet,"Membantu anamnesa pasien; Menjaga dan merawat pasien di IGD, rawat inap atau PONED; Membantu piket di posko P3K",1-3 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",Tidak ,"Alamat kasus konfirmasi tidak lengkap; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Lintas sektor (kelurahan, RT/RW) tidak kooperatif","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim,Pencatatan yang berulang (manual dan komputer),Ketidaksinkronan data antara pencatatan manual dan excel/aplikasi,1,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon,WhatsApp,WhatsApp,Form PE kertas,Form PE kertas; Form Excel,Setiap hari,2,,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan,"Rp3.000.001,00 - Rp4.000.000,00",Ya,Omay rosmayati
2021/02/22 12:43:39,Kepala Puskesmas,Puskesmas,1973,Pria,Diploma/S1,Tidak mengikuti,Ya,"Identifikasi kontak erat (wawancara); Monitoring dan follow up; Organisasi lacak kontak (koordinasi, dll)",Netral,Sangat tidak setuju,Setuju,Sangat setuju,Sangat setuju,Netral,Netral,Sangat tidak setuju,Setuju,Netral,Setuju,Netral,Tidak setuju,Netral,Netral,Netral,Sangat setuju,Tidak setuju,Netral,Netral,Setuju,Sangat setuju,Netral,Netral,Netral,Tidak setuju,Sangat setuju,Netral,Tidak setuju,Netral,Tidak setuju,Netral,Sangat setuju,Sangat setuju,Tidak setuju,Setuju,Setuju,Setuju,Setuju,"Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mengikuti arahan dari otoritas yang lebih tinggi",Berperan aktif dalam mengatasi pandemi,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,dr. Wiji Hartono
2021/02/22 12:40:42,Kepala Puskesmas,Puskesmas,1972,Pria,Diploma/S1,Mengikuti sebagian,Ya,"Organisasi lacak kontak (koordinasi, dll)",Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat tidak setuju,Tidak setuju,Sangat setuju,Tidak setuju,Tidak setuju,Tidak setuju,Sangat setuju,Sangat setuju,Setuju,Setuju,Setuju,Setuju,Sangat setuju,Setuju,Sangat tidak setuju,Setuju,Setuju,Setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Tidak setuju,Setuju,Tidak setuju,Setuju,Tidak setuju,Tidak setuju,Sangat setuju,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19; Mendapatkan panduan untuk perlindungan terhadap diri sendiri dan keluarga dalam situasi pandemi; Mengikuti arahan dari otoritas yang lebih tinggi",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Berperan aktif dalam mengatasi pandemi,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone; Laptop,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tidak,
2021/02/22 12:40:15,Kepala Puskesmas,Puskesmas,1969,Pria,Diploma/S1,Mengikuti sebagian,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,3-5 jam,Sulit,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,Suharto
2021/02/22 12:40:07,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1976,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone; Laptop,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu); Melaksanakan dan mengawasi kesehatan lingkungan",1-3 jam,1-3 jam,Kurang dari 1 jam,1-3 jam,Kurang dari 1 jam,1-3 jam,1-3 jam,3-5 jam,Pribadi,,,,,,Puskesmas,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kesulitan untuk menemukan kembali arsip kertas form PE,4,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon,WhatsApp; SMS; Telepon,WhatsApp; SMS; Telepon,Form PE kertas,Form PE kertas,Setiap hari,4,,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan,"Kurang dari Rp1.000.000,00",Tidak,
2021/02/22 12:36:16,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1983,Pria,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,1-3 jam,Sulit,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diklat/seminar/pelatihan; Internet,"Membantu anamnesa pasien; Menjaga dan merawat pasien di IGD, rawat inap atau PONED",Lebih dari 5 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Kurang dari 1 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Rp100.000,00 - Rp300.000,00",,"Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia",Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat perjalanannya; Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya,Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kesulitan untuk menemukan kembali arsip kertas form PE,3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi,WhatsApp,WhatsApp; Telepon,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR); WhatsApp Group; Email,4-5 hari sekali,4,4,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Menerima hasil swab secara cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Cevi Supriadi
2021/02/22 12:34:44,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1989,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Diskusi dengan rekan sesama tenaga kesehatan,"Membantu program kesehatan lain (contoh: imunisasi, DBD, posyandu)",Lebih dari 5 jam,3-5 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,,Puskesmas,,,,Pribadi,,,,,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Keterlambatan rilis informasi kasus","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Kontak erat/kasus konfirmasi berhasil sembuh,WhatsApp; Telepon,WhatsApp; Telepon,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR),Setiap hari,4,4,Menerima hasil swab secara cepat,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Irma Nurmaidah
2021/02/22 12:28:56,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1982,Wanita,Diploma/S1,Mengikuti sebagian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,1-3 jam,Sangat sulit (sering meminta bantuan orang lain dalam melakukan aktivitas online),Jaringan internet yang tidak bagus; Tidak memiliki perangkat untuk melakukan aktivitas online,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Diklat/seminar/pelatihan,Membantu anamnesa pasien,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,Pribadi,,,,,,,,,Tidak tahu,"Rp100.000,00 - Rp300.000,00","Rp100.000,00 - Rp300.000,00",Tidak tahu,"Alamat kasus konfirmasi tidak lengkap; Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia","Alamat kontak erat tidak ditemukan; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya)",Kontak erat atau kasus konfirmasi tidak merespon telepon atau pesan yang dikirim; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Pencatatan yang berulang (manual dan komputer); Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,"Ketidaktersediaan fasilitas pendukung (komputer/laptop, internet, listrik); Kekurangan SDM untuk melakukan pelaporan",3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi menjawab pesan/telepon; Berhasil menemukan banyak kontak erat,WhatsApp,Telepon,Form PE kertas; Form Excel; New All Record (NAR),Form PE kertas; Form Excel; New All Record (NAR); Email,1-2 minggu sekali,3,3,Menerima laporan kondisi pasien yang isolasi mandiri untuk pemantauan; Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien,"Rp2.000.001,00 - Rp3.000.000,00",Ya,Nuroniah
2021/02/22 12:26:38,Surveilans/Petugas Pelacakan Kontak,Puskesmas,1980,Wanita,Diploma/S1,Tidak mengikuti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Handphone,Lebih dari 5 jam,Mudah,Jaringan internet yang tidak bagus,Petunjuk Teknis (Juknis); Diskusi dengan rekan sesama tenaga kesehatan; Internet,Membantu anamnesa pasien,1-3 jam,1-3 jam,1-3 jam,1-3 jam,1-3 jam,3-5 jam,Kurang dari 1 jam,1-3 jam,Pribadi,,,,,Pribadi,,,,,"Kurang dari Rp100.000,00","Kurang dari Rp100.000,00",,"Alamat kasus konfirmasi tidak sesuai dengan domisili; Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Lintas sektor (kelurahan, RT/RW) tidak kooperatif","Nomor kontak (hp, telp rumah, dll) tidak lengkap/tidak tersedia; Kasus Konfirmasi tidak terbuka (tidak mau memberi tahu siapa saja kontak eratnya); Kasus Konfirmasi tidak mengingat (lupa) riwayat kontaknya",Tidak menerima akan statusnya sebagai kontak erat atau kasus konfirmasi; Kasus konfirmasi atau kontak erat tidak mau memberikan informasi yang dibutuhkan,Informasi yang diberikan kasus konfirmasi atau kontak erat kurang lengkap,Kekurangan SDM untuk melakukan pelaporan,3,Kontak erat/kasus konfirmasi berhasil dihubungi; Kontak erat/kasus konfirmasi mematuhi anjuran dan isolasi; Ingin segera menyelesaikan tugas dalam pelacakan kontak,WhatsApp,WhatsApp,Form PE kertas,New All Record (NAR),Setiap hari,1,5,Mendapatkan nomor hp dan alamat pasien yang bisa dihubungi; Memperoleh data secara cepat dan akurat tentang riwayat pasien; Melakukan pelaporan dengan lebih praktis,"Rp1.000.000,00 - Rp2.000.000,00",Ya,Ida farida
2021/02/22 12:25:17,Relawan,Puskesmas,1985,Pria,Diploma/S1,Tidak mengikuti,Ya,Identifikasi kontak erat (wawancara); Monitoring dan follow up,Tidak setuju,Tidak setuju,Netral,Netral,Setuju,Tidak setuju,Setuju,Netral,Setuju,Netral,Tidak setuju,Setuju,Setuju,Setuju,Tidak setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Netral,Setuju,Netral,Netral,Netral,Netral,Setuju,Tidak setuju,Tidak setuju,Netral,Netral,Setuju,Setuju,Setuju,Netral,Tidak setuju,Netral,"Mendapatkan informasi terkini dan valid mengenai penyebaran COVID-19; Menciptakan ketenangan dalam bekerja, dengan informasi yang jelas dan situasi terkini terkait COVID-19",Melindungi masyarakat dari risiko penyebaran COVID-19; Memberikan edukasi mengenai pelacakan kontak; Adanya insentif tambahan,Pemahaman terhadap situasi pandemi yang dialami masyarakat setempat di suatu wilayah; Pelibatan wakil masyarakat setempat dalam lacak kontak di suatu wilayah; Adanya upaya untuk membangun kepercayaan dan keterlibatan masyarakat dalam lacak kontak,Handphone,3-5 jam,Mudah,Jaringan internet yang tidak bagus,Internet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ya,Atang Firmansyah 
